2018-04-20 20:13:21,b'#LABCSummit18 #NationalLookAlikeDay #greatreadpbs #ALBOE #GaryVeeBreakfast #NewMusicFriday Super Six  https://t.co/duQUKUScPT',California
2018-04-20 20:11:41,"b' #LABCSummit18 RT @SCE_JoshuaT: ""We have to make sure it (#ElectricVehicles) isn\'t just a wealthy person\'s option."" - @SCE_TE Pres Ron Nichols at #LABCSum\xe2\x80\xa6'",California
2018-04-20 20:11:12,"b"" #LABCSummit18 RT @RenewFinancial: Our CEO @ciscodv: \xe2\x80\x9cAs founder and CEO of Renew Financial, I'm very much focused on how we democratize access to clean e\xe2\x80\xa6""",California
2018-04-20 20:10:59,"b' #LABCSummit18 RT @StephanieMolen: ""This is the clean energy DreamTeam, and Ted is the 6th Man coming in to help get it done with the CCA."" Said Jake Levi\xe2\x80\xa6'",California
2018-04-20 20:09:15,"b' #LABCSummit18 ""This is the clean energy DreamTeam, and Ted is the 6th Man coming in to help get it done with the CCA."" Said Jake\xe2\x80\xa6 https://t.co/rPGLdwhO8n'",California
2018-04-20 20:08:21,"b""RT @SCE_DianeF: We @edisonintl are proud to sponsor #LABCSummit18  and congratulate this year's @labctweets honorees #FutureIsElectric http\xe2\x80\xa6""",California
2018-04-20 20:07:08,"b' #LABCSummit18 @jaimenack Hey, fellow @UCLALuskin MPP! There are some current students (including myself)\xe2\x80\x94as well as a recent grad\xe2\x80\xa6 https://t.co/g8evBhCJpX'",California
2018-04-20 20:05:04,"b"" #LABCSummit18 Our CEO @ciscodv: \xe2\x80\x9cAs founder and CEO of Renew Financial, I'm very much focused on how we democratize access to cle\xe2\x80\xa6 https://t.co/Cq5U5xealk""",California
2018-04-20 20:04:51,"b""We @edisonintl are proud to sponsor #LABCSummit18  and congratulate this year's @labctweets honorees\xe2\x80\xa6 https://t.co/gygx8Z8UeF""",California
2018-04-20 20:03:08,"b' #LABCSummit18 Our #CleanEnergy goals are going to require new infrastructure,  new thinking, investments, and policy shifts like\xe2\x80\xa6 https://t.co/ocg97cL89X'",California
2018-04-20 20:01:01,"b""RT @OregonGovBrown: Starting now! I'm joining @GovInslee and @MayorOfLA at #LABCSummit18 to discuss #ClimateAction, watch it live: https://\xe2\x80\xa6""",California
2018-04-20 20:00:26,"b' #LABCSummit18 RT @CleanairCA: ""All the evidence suggests 100% Clean Energy is totally possible""\nSenate President pro Tem Kevin De Leon (@kdeleon)\n#sb100\xe2\x80\xa6'",California
2018-04-20 20:00:24,b'RT @JCAinLA: @labctweets #LABCSummit18 Technology-Enabled panelists @WalmartAction @Tesla @MitsubishiHVAC @SiemensUSA @LACIncubator https:/\xe2\x80\xa6',California
2018-04-20 20:00:17,b'RT @StephanieMolen: What a strong panel for technology enabled solutions for a green economy and future. @labctweets #labcsummit18 Moderato\xe2\x80\xa6',California
2018-04-20 20:00:04,b'#LABCSummit18 IS OVER! https://t.co/Ez0QeRmKEs',California
2018-04-20 19:59:47,"b' #LABCSummit18 RT @OregonGovBrown: #ClimateChange will affect everyone, but our underserved communities feel the impacts the most and hardest. As we move\xe2\x80\xa6'",California
2018-04-20 19:59:21,"b' #LABCSummit18 RT @CleanairCA: ""The President\'s fossil fuel fetish is out of whack with the reality of where the real job growth is coming from.""\nSenate P\xe2\x80\xa6'",California
2018-04-20 19:59:02,"b' #LABCSummit18 RT @CleanairCA: David Wright, General Manager of @LADWP, says that we can get really strong #EV growth by creating incentives in the second\xe2\x80\xa6'",California
2018-04-20 19:58:41,"b' #LABCSummit18 RT @SCE_JoshuaT: ""We have to make sure it (#ElectricVehicles) isn\'t just a wealthy person\'s option."" - @SCE_TE Pres Ron Nichols at #LABCSum\xe2\x80\xa6'",California
2018-04-20 19:58:31,b'RT @SCE_HaigK: &gt;@SCE Pres. Ron Nichols is speaking now @labctweets Sustainability Summit\n#LABCSummit18\n\nLive stream: https://t.co/aStAv7N6K\xe2\x80\xa6',California
2018-04-20 19:58:29,b' #LABCSummit18 RT @CleanairCA: Washington Governor Jay Inslee (@JayInslee) tells the story of a young woman who grew up in an industrial district in South\xe2\x80\xa6',California
2018-04-20 19:58:17,"b' #LABCSummit18 RT @SCE_JoshuaT: ""We have to make sure it (#ElectricVehicles) isn\'t just a wealthy person\'s option."" - @SCE_TE Pres Ron Nichols at #LABCSum\xe2\x80\xa6'",California
2018-04-20 19:58:07,"b"" #LABCSummit18 In order to reach CA's #CleanAir &amp; #GHGreduction goals, we need to deploy 7 million light+medium+heavy duty vehicle\xe2\x80\xa6 https://t.co/nnT3b4SoWZ""",California
2018-04-20 19:58:01,"b"" #LABCSummit18 RT @CleanairCA: Los Angeles Mayor Eric Garcetti (@ericgarcetti) points out that most people are concerned about what's going to happen in t\xe2\x80\xa6""",California
2018-04-20 19:57:16,b'RT @SCE_JanelleH: Excited to sponsor @labctweets Regional Solutions for an Inclusive Clean Economy Summit #LABCSummit18 https://t.co/FkHtmD\xe2\x80\xa6',California
2018-04-20 19:56:18,"b'Myeisha Gami\xc3\xb1o, Director, Corporate Affairs &amp; Government Relations presenting at the #LABCSummit18 concerning the\xe2\x80\xa6 https://t.co/mFcRLAdegu'",California
2018-04-20 19:54:41,"b' #LABCSummit18 RT @SCE_JoshuaT: ""We have to make sure it (#ElectricVehicles) isn\'t just a wealthy person\'s option."" - @SCE_TE Pres Ron Nichols at #LABCSum\xe2\x80\xa6'",California
2018-04-20 19:52:49,"b' #LABCSummit18 ""We have to make sure it (#ElectricVehicles) isn\'t just a wealthy person\'s option."" - @SCE_TE Pres Ron Nichols at\xe2\x80\xa6 https://t.co/A5gZvcqCKw'",California
2018-04-20 19:52:48,"b'Pacific Coast Collaboration on display at #LABCSummit18, representing 1/5 of the global economy, and powered by 63%\xe2\x80\xa6 https://t.co/L6WnUo5tIy'",California
2018-04-20 19:50:52,"b' #LABCSummit18 RT @OregonGovBrown: #ClimateChange will affect everyone, but our underserved communities feel the impacts the most and hardest. As we move\xe2\x80\xa6'",California
2018-04-20 19:49:16,"b"" #LABCSummit18 RT @CleanairCA: Los Angeles Mayor Eric Garcetti (@ericgarcetti) points out that most people are concerned about what's going to happen in t\xe2\x80\xa6""",California
2018-04-20 19:49:08,b' #LABCSummit18 RT @CleanairCA: Washington Governor Jay Inslee (@JayInslee) tells the story of a young woman who grew up in an industrial district in South\xe2\x80\xa6',California
2018-04-20 19:49:00,"b"" #LABCSummit18 Los Angeles Mayor Eric Garcetti (@ericgarcetti) points out that most people are concerned about what's going to hap\xe2\x80\xa6 https://t.co/qirut4GsFX""",California
2018-04-20 19:48:43,b' #LABCSummit18 Washington Governor Jay Inslee (@JayInslee) tells the story of a young woman who grew up in an industrial district\xe2\x80\xa6 https://t.co/ohhbZVA9fj',California
2018-04-20 19:48:28,"b' #LABCSummit18 RT @SCE_DianeF: Pres. @SCE Ron Nichols -how can we get to our clean energy goals ""so that it is affordable for all income levels"" and ""make\xe2\x80\xa6'",California
2018-04-20 19:48:17,"b' #LABCSummit18 RT @SCE_DianeF: Pres. @SCE Ron Nichols -how can we get to our clean energy goals ""so that it is affordable for all income levels"" and ""make\xe2\x80\xa6'",California
2018-04-20 19:48:14,"b' #LABCSummit18 Pres. @SCE Ron Nichols -how can we get to our clean energy goals ""so that it is affordable for all income levels"" a\xe2\x80\xa6 https://t.co/KBDbpOausB'",California
2018-04-20 19:44:18,"b' #LABCSummit18 Guess what, Mr. Maullin? We won\xe2\x80\x99t need 7 million EV\xe2\x80\x99s once we have @metrolosangeles complete and #affordablehousing\xe2\x80\xa6 https://t.co/EVcu6vwnWO'",California
2018-04-20 19:39:09,b'&gt;@SCE Pres. Ron Nichols is speaking now @labctweets Sustainability Summit\n#LABCSummit18\n\nLive stream:\xe2\x80\xa6 https://t.co/BK0ofskXhr',California
2018-04-20 19:39:08,b'West Coast Climate Leaders @ericgarcetti @KateBrownForOR @JayInslee #LABCSummit18 \xe2\x80\x9cWe know that we don\xe2\x80\x99t have to pi\xe2\x80\xa6 https://t.co/47qcdCdLhl',California
2018-04-20 19:38:15,b'RT @SCE_DianeF: We @SCE are pleased to part of the discussion to help reach CA #cleanenergy goals at #LABCSummit18 https://t.co/G2xG3C3rPz',California
2018-04-20 19:38:05,"b' #LABCSummit18 RT @OregonGovBrown: #ClimateChange will affect everyone, but our underserved communities feel the impacts the most and hardest. As we move\xe2\x80\xa6'",California
2018-04-20 19:35:22,b'Making wondrous discoveries on #sustainability at #LABCSummit18 .  @mnsengineers is here. https://t.co/X3TTFa89fS',California
2018-04-20 19:35:00,"b' #LABCSummit18 RT @OregonGovBrown: #ClimateChange will affect everyone, but our underserved communities feel the impacts the most and hardest. As we move\xe2\x80\xa6'",California
2018-04-20 19:34:56,b'RT @jaimenack: Congrats to @CCallahan_UCLA @LuskinCenter for the #LABCSummit18 award! Well deserved! #GoBruins @UCLALuskin https://t.co/P08\xe2\x80\xa6',California
2018-04-20 19:34:39,b'Climate leaders! @ericgarcetti @KateBrownForOR @JayInslee #LABCSummit18 \xe2\x80\x9cWe now know that we don\xe2\x80\x99t have to pick the\xe2\x80\xa6 https://t.co/HOzLs7U40n',California
2018-04-20 19:34:29,b'RT @SCE_DianeF: We @SCE are pleased to part of the discussion to help reach CA #cleanenergy goals at #LABCSummit18 https://t.co/G2xG3C3rPz',California
2018-04-20 19:34:20,b'We @SCE are pleased to part of the discussion to help reach CA #cleanenergy goals at #LABCSummit18 https://t.co/G2xG3C3rPz',California
2018-04-20 19:31:48,b' #LABCSummit18 Learning about the future of alternative energy and transportation in LA and the western states. #energydisruption\xe2\x80\xa6 https://t.co/amjDfUHWHC',California
2018-04-20 19:30:11,"b"" #LABCSummit18 RT @SCE_HaigK: So Cal Edison Pres Ron Nichols will join a panel at @labctweets #SustainabilitySummit at 12:25 pm on Achieving CA's #Climate\xe2\x80\xa6""",California
2018-04-20 19:29:59,b' #LABCSummit18 RT @jdifilippo: @LuskinCenter research shows that the West Coast region has successfully proven that economic growth and environmental lead\xe2\x80\xa6',California
2018-04-20 19:29:08,b' #LABCSummit18 @LuskinCenter research shows that the West Coast region has successfully proven that economic growth and environmen\xe2\x80\xa6 https://t.co/yHsfMYZNCw',California
2018-04-20 19:29:04,"b""RT @SSidick_CSUN: CSUN is proud to sponsor and participate in today's LABC 12th Annual Sustainability Summit at The Getty #LABCsummit18 htt\xe2\x80\xa6""",California
2018-04-20 19:21:07,"b' #LABCSummit18 RT @OregonGovBrown: #ClimateChange will affect everyone, but our underserved communities feel the impacts the most and hardest. As we move\xe2\x80\xa6'",California
2018-04-20 19:20:30,"b' #LABCSummit18 Introducing State Sen @kdeleon, our CEO @ciscodv highlighted the Senator\xe2\x80\x99s leadership on democratizing access to cl\xe2\x80\xa6 https://t.co/LWYxaMS8kw'",California
2018-04-20 19:14:46,b'RT @SCE_HaigK: #WestCoast is tripling their commitment to #CleanEnergy #RenewableEnergy \n#LABCSummit18 https://t.co/y49hylMchG',California
2018-04-20 19:12:48,"b"" #LABCSummit18 So Cal Edison Pres Ron Nichols will join a panel at @labctweets #SustainabilitySummit at 12:25 pm on Achieving CA's\xe2\x80\xa6 https://t.co/2tUMblWmQx""",California
2018-04-20 19:07:39,"b' #LABCSummit18 RT @OregonGovBrown: #ClimateChange will affect everyone, but our underserved communities feel the impacts the most and hardest. As we move\xe2\x80\xa6'",California
2018-04-20 18:59:59,"b' #LABCSummit18 RT @CleanairCA: ""The President\'s fossil fuel fetish is out of whack with the reality of where the real job growth is coming from.""\nSenate P\xe2\x80\xa6'",California
2018-04-20 18:57:31,"b'RT @JCAinLA: West Coast surpasses national GDP thanks to ambitious climate goals!  #LABCSummit18 @MayorOfLA, @OregonGovBrown, @GovInslee an\xe2\x80\xa6'",California
2018-04-20 18:57:30,"b' #LABCSummit18 RT @OregonGovBrown: #ClimateChange will affect everyone, but our underserved communities feel the impacts the most and hardest. As we move\xe2\x80\xa6'",California
2018-04-20 18:56:53,b'#WestCoast is tripling their commitment to #CleanEnergy #RenewableEnergy \n#LABCSummit18 https://t.co/y49hylMchG',California
2018-04-20 18:55:08,b' #LABCSummit18 RT @pured131: West Coast electeds like @OregonGovBrown discussing w/ Michael Northrop of @RockBrosFund how to sustain #ClimateAction in the\xe2\x80\xa6',California
2018-04-20 18:54:27,b' #LABCSummit18 RT @SCE_ZankuA: @kdeleon emphasized #CleanPower essential because SoCal has to get to acceptable #CleanAir standards. @SCE has a plan on ho\xe2\x80\xa6',California
2018-04-20 18:54:12,b' #LABCSummit18 West Coast electeds like @OregonGovBrown discussing w/ Michael Northrop of @RockBrosFund how to sustain\xe2\x80\xa6 https://t.co/6vqPe03rbU',California
2018-04-20 18:53:49,"b"" #LABCSummit18 RT @SCE_PublicAff: .@SCE is proud to sponsor and participate in today's @labctweets 12th Annual Sustainability Summit @GettyMuseum. Coming\xe2\x80\xa6""",California
2018-04-20 18:53:00,b'Happy 420 Avicii #LABCSummit18 Arsenal ON SALE NOW Kevin Williamson #GreatReadPBS #NationalLookAlikeDay https://t.co/al8KeuV0Mx',California
2018-04-20 18:51:21,b'RT @EnvCalifornia: #LABCSummit18 checking out the new flying electric cars! https://t.co/TC6rsu9s1x',California
2018-04-20 18:49:14,"b""RT @OregonGovBrown: Starting now! I'm joining @GovInslee and @MayorOfLA at #LABCSummit18 to discuss #ClimateAction, watch it live: https://\xe2\x80\xa6""",California
2018-04-20 18:46:42,"b' #LABCSummit18 ARB Chair @MaryNicholsCA, LA Councilmember @PaulKrekorian and @LuskinCenter receive sustainability leadership award\xe2\x80\xa6 https://t.co/F6ITBRYIX5'",California
2018-04-20 18:45:37,b'RT @CaBizAlliance: West Coast business and govt leaders work together to slash emissions while increasing GDP with @PCCleads #LABCSummit18.\xe2\x80\xa6',California
2018-04-20 18:44:07,"b' #LABCSummit18 RT @OregonGovBrown: #ClimateChange will affect everyone, but our underserved communities feel the impacts the most and hardest. As we move\xe2\x80\xa6'",California
2018-04-20 18:43:43,b'*smiles back at him*. #LABCSummit18',California
2018-04-20 18:40:10,b'RT @JCAinLA: I need one now! Flying car. Creating a Three-Dimensional Transportation System with Drones @labctweets @ehang #LABCsummit18 ht\xe2\x80\xa6',California
2018-04-20 18:40:06,"b"" #LABCSummit18 RT @SCE_PublicAff: .@SCE is proud to sponsor and participate in today's @labctweets 12th Annual Sustainability Summit @GettyMuseum. Coming\xe2\x80\xa6""",California
2018-04-20 18:38:02,"b' #LABCSummit18 RT @OregonGovBrown: #ClimateChange will affect everyone, but our underserved communities feel the impacts the most and hardest. As we move\xe2\x80\xa6'",California
2018-04-20 18:37:45,b'#LABCSummit18 @GovInslee  @OregonGovBrown @MayorOfLA - climate leaders and economic leaders discuss a clean energy\xe2\x80\xa6 https://t.co/i4LMufFKHV',California
2018-04-20 18:35:27,b' #LABCSummit18 RT @MyGenerationSC: The internet of things &amp; #smartgrid technology can help @LADWP manage increasing energy load from the #electrification\xe2\x80\xa6',California
2018-04-20 18:34:45,"b'RT @SCE_PublicAff: Unable to attend #LABCsummit18, but want to hear from @SCE Pres Ron Nichols and others on how we will reach our #cleanen\xe2\x80\xa6'",California
2018-04-20 18:34:34,"b""RT @OregonGovBrown: Starting now! I'm joining @GovInslee and @MayorOfLA at #LABCSummit18 to discuss #ClimateAction, watch it live: https://\xe2\x80\xa6""",California
2018-04-20 18:33:22,b'RT @CaBizAlliance: West Coast business and govt leaders work together to slash emissions while increasing GDP with @PCCleads #LABCSummit18.\xe2\x80\xa6',California
2018-04-20 18:32:52,"b""RT @OregonGovBrown: Starting now! I'm joining @GovInslee and @MayorOfLA at #LABCSummit18 to discuss #ClimateAction, watch it live: https://\xe2\x80\xa6""",California
2018-04-20 18:32:44,b'RT @threesquaresinc: #LA has reduced its #GHG emissions by 11% in 1 year - @MayorOfLA @ericgarcetti #LABCSummit18 #LosAngeles #climatechang\xe2\x80\xa6',California
2018-04-20 18:32:22,"b'Unable to attend #LABCsummit18, but want to hear from @SCE Pres Ron Nichols and others on how we will reach our\xe2\x80\xa6 https://t.co/uDus8XG7rg'",California
2018-04-20 18:31:03,b' #LABCSummit18 The internet of things &amp; #smartgrid technology can help @LADWP manage increasing energy load from the\xe2\x80\xa6 https://t.co/hzZTGgPVTF',California
2018-04-20 18:30:13,"b' #LABCSummit18 @ericgarcetti believes that ""we have to figure out a place for everyone"" to fully realize a workable sustainable fu\xe2\x80\xa6 https://t.co/TKSSfUIXGJ'",California
2018-04-20 18:27:33,b' #LABCSummit18 RT @MoveLATransit: There isn\xe2\x80\x99t another region in the world with leadership this dedicated to reducing emissions. @MayorOfLA @JayInslee @Kat\xe2\x80\xa6',California
2018-04-20 18:27:28,b'RT @ceciaguillon: Clean Energy is profitable for the tax payers #LABCSummit18 #numbers don\xe2\x80\x99t lie https://t.co/6WLewNKrdb',California
2018-04-20 18:27:23,b'RT @jaimenack: @LuskinCenter data on screen w @MayorOfLA @OregonGovBrown @WAStateGov #LABCSummit18 #SustainableDevelopment #sustainability\xe2\x80\xa6',California
2018-04-20 18:27:20,"b' #LABCSummit18 RT @OregonGovBrown: #ClimateChange will affect everyone, but our underserved communities feel the impacts the most and hardest. As we move\xe2\x80\xa6'",California
2018-04-20 18:27:20,b'RT @labctweets: The West Coast Leader are here! Thank you @OregonGovBrown  @GovInslee @MayorOfLA #LABCSummit18 https://t.co/B4TrwDWf9X',California
2018-04-20 18:27:17,b'RT @threesquaresinc: #LA has reduced its #GHG emissions by 11% in 1 year - @MayorOfLA @ericgarcetti #LABCSummit18 #LosAngeles #climatechang\xe2\x80\xa6',California
2018-04-20 18:27:12,b'RT @SCE_JoshuaT: West coast economies have grown faster than the rest of the country while also reducing #GHG emissions. #LABCSummit18 http\xe2\x80\xa6',California
2018-04-20 18:27:10,"b' #LABCSummit18 RT @MoveLATransit: \xe2\x80\x9cDo it for the right reason but do it for the practical reasons,\xe2\x80\x9d says @MayorOfLA on producing clean energy jobs, abatin\xe2\x80\xa6'",California
2018-04-20 18:27:07,b'RT @AsKendal: Chatting #greenjobs and #SustainableDevelopment at #LABCSummit18 with @OregonGovBrown @MayorOfLA @GovInslee https://t.co/qSJw\xe2\x80\xa6',California
2018-04-20 18:27:05,"b'West Coast surpasses national GDP thanks to ambitious climate goals!  #LABCSummit18 @MayorOfLA, @OregonGovBrown,\xe2\x80\xa6 https://t.co/h7tQer0s2l'",California
2018-04-20 18:26:58,b' #LABCSummit18 RT @MoveLATransit: Siting affordable housing near public transportation is one of the best things we can do to de-carbonize the economy say\xe2\x80\xa6',California
2018-04-20 18:26:53,"b'RT @LACIncubator: ""Transportation electrification is the biggest thing we need to focus on."" - David H. Wright (GM, @LADWP) #LABCSummit18 h\xe2\x80\xa6'",California
2018-04-20 18:26:49,b' #LABCSummit18 RT @SeaAsmaRun: \xe2\x80\x9cOur underserved communities feel the impacts of #climatechange the most and the hardest. We see how impacts on salmon effe\xe2\x80\xa6',California
2018-04-20 18:26:47,b' #LABCSummit18 RT @SCE_CarolynS: Workforce development 500k clean energy jobs in CA and the Epic Center of innovation. - Hon. Kevin de Leon The Figueroa f\xe2\x80\xa6',California
2018-04-20 18:26:45,"b' #LABCSummit18 RT @OregonGovBrown: #ClimateChange will affect everyone, but our underserved communities feel the impacts the most and hardest. As we move\xe2\x80\xa6'",California
2018-04-20 18:26:38,b'RT @ceciaguillon: Washington Mayor Inslee says WA RPS turned into a $7billion industry for the state #LABCSummit18 #dropthemike',California
2018-04-20 18:26:29,"b' #LABCSummit18 RT @reneedakewilson: CA OR WA have 1/5 of the world\xe2\x80\x99s economy, better than average GDP growth, WHILE clean energy production is almost doub\xe2\x80\xa6'",California
2018-04-20 18:26:20,b' #LABCSummit18 RT @SCE_ZankuA: @kdeleon emphasized #CleanPower essential because SoCal has to get to acceptable #CleanAir standards. @SCE has a plan on ho\xe2\x80\xa6',California
2018-04-20 18:25:13,"b"" #LABCSummit18 RT @SCE_PublicAff: .@SCE is proud to sponsor and participate in today's @labctweets 12th Annual Sustainability Summit @GettyMuseum. Coming\xe2\x80\xa6""",California
2018-04-20 18:19:23,"b' #LABCSummit18 RT @Bryn_Lindblad: Twice in one day -- what a treat. This time Chair of @AirResources @MaryNicholsCA is marveling at the inclusive, sustain\xe2\x80\xa6'",California
2018-04-20 18:19:03,"b' #LABCSummit18 CA OR WA have 1/5 of the world\xe2\x80\x99s economy, better than average GDP growth, WHILE clean energy production is almost d\xe2\x80\xa6 https://t.co/EBEVy1WlqS'",California
2018-04-20 18:18:57,b' #LABCSummit18 RT @sustainCSUN: We\xe2\x80\x99re looking forward to joining our friends at the @labctweets  for their 12th Annual Sustainability Summit. Dr. Erica Wo\xe2\x80\xa6',California
2018-04-20 18:18:43,b' #LABCSummit18 RT @SCE_CarolynS: Workforce development 500k clean energy jobs in CA and the Epic Center of innovation. - Hon. Kevin de Leon The Figueroa f\xe2\x80\xa6',California
2018-04-20 18:18:22,b' #LABCSummit18 #Top 20+ #Best #Free #movies #downloads #Sites To #Download #Full #HD #Movies\n #FreeMovieFriday\xe2\x80\xa6 https://t.co/8UiwQpaNMG',California
2018-04-20 18:18:13,"b' #LABCSummit18 RT @OregonGovBrown: #ClimateChange will affect everyone, but our underserved communities feel the impacts the most and hardest. As we move\xe2\x80\xa6'",California
2018-04-20 18:16:31,b'Washington Mayor Inslee says WA RPS turned into a $7billion industry for the state #LABCSummit18 #dropthemike',California
2018-04-20 18:15:58,b' #LABCSummit18 States and cities are stepping up to #ActOnClimate thanks to @JayInslee @MayorOfLA @ClimateMayors @KateBrownForOR.\xe2\x80\xa6 https://t.co/2UGihn3wJs',California
2018-04-20 18:15:50,b' #LABCSummit18 #Top 40 #Best #Free #Movie #Streaming #Sites 2018\nhttps://t.co/SY1wn64dzm\n\n#FreeMovieStreamingSites\n#Movies\xe2\x80\xa6 https://t.co/TGkWnmb7gl',California
2018-04-20 18:15:28,"b' #LABCSummit18 RT @OregonGovBrown: #ClimateChange will affect everyone, but our underserved communities feel the impacts the most and hardest. As we move\xe2\x80\xa6'",California
2018-04-20 18:14:51,b' #LABCSummit18 RT @SeaAsmaRun: \xe2\x80\x9cOur underserved communities feel the impacts of #climatechange the most and the hardest. We see how impacts on salmon effe\xe2\x80\xa6',California
2018-04-20 18:14:43,"b'RT @LACIncubator: ""Transportation electrification is the biggest thing we need to focus on."" - David H. Wright (GM, @LADWP) #LABCSummit18 h\xe2\x80\xa6'",California
2018-04-20 18:12:55,"b' #LABCSummit18 #ClimateChange will affect everyone, but our underserved communities feel the impacts the most and hardest. As we m\xe2\x80\xa6 https://t.co/GTyWlE9PcQ'",California
2018-04-20 18:12:19,b' #LABCSummit18 \xe2\x80\x9cOur underserved communities feel the impacts of #climatechange the most and the hardest. We see how impacts on sal\xe2\x80\xa6 https://t.co/JsUzDPubBd',California
2018-04-20 18:11:48,"b'RT @LACIncubator: ""Transportation electrification is the biggest thing we need to focus on."" - David H. Wright (GM, @LADWP) #LABCSummit18 h\xe2\x80\xa6'",California
2018-04-20 18:11:32,"b' #LABCSummit18 ""Transportation electrification is the biggest thing we need to focus on."" - David H. Wright (GM, @LADWP)\xe2\x80\xa6 https://t.co/RondPsEtJc'",California
2018-04-20 18:11:22,b' #LABCSummit18 Siting affordable housing near public transportation is one of the best things we can do to de-carbonize the econom\xe2\x80\xa6 https://t.co/130m0NBfJA',California
2018-04-20 17:51:18,b'Washington state has highest GDP in US. How much of that is  @JeffBezos bank balance? #LABCSummit18',California
2018-04-20 17:49:47,b'RT @labctweets: The West Coast Leader are here! Thank you @OregonGovBrown  @GovInslee @MayorOfLA #LABCSummit18 https://t.co/B4TrwDWf9X',California
